
# Curve 0 of 1, 100 points
# Curve title: ""a.txt""
# x y type
 0.38  1.6  o
 0.38404  1.59588  o
 0.388081  1.59145  o
 0.392121  1.58665  o
 0.396162  1.58156  o
 0.400202  1.57621  i
 0.404242  1.5706  i
 0.408283  1.56468  i
 0.412323  1.55836  i
 0.416364  1.55151  i
 0.420404  1.544  i
 0.424444  1.53573  i
 0.428485  1.52658  i
 0.432525  1.51646  i
 0.436566  1.5053  i
 0.440606  1.49304  i
 0.444646  1.47965  i
 0.448687  1.46511  i
 0.452727  1.44944  i
 0.456768  1.43268  i
 0.460808  1.41492  i
 0.464848  1.39627  i
 0.468889  1.37692  i
 0.472929  1.35706  i
 0.47697  1.33696  i
 0.48101  1.31688  i
 0.485051  1.29717  i
 0.489091  1.27815  i
 0.493131  1.26019  i
 0.497172  1.24364  i
 0.501212  1.22886  i
 0.505253  1.21618  i
 0.509293  1.20592  i
 0.513333  1.19835  i
 0.517374  1.19372  i
 0.521414  1.19225  i
 0.525455  1.19408  i
 0.529495  1.19935  i
 0.533535  1.20814  i
 0.537576  1.22049  i
 0.541616  1.23641  i
 0.545657  1.25589  i
 0.549697  1.27887  i
 0.553737  1.30526  i
 0.557778  1.33497  i
 0.561818  1.36783  i
 0.565859  1.40368  i
 0.569899  1.44231  i
 0.573939  1.48346  i
 0.57798  1.52684  i
 0.58202  1.57209  i
 0.586061  1.61884  i
 0.590101  1.66663  i
 0.594141  1.715  i
 0.598182  1.76341  i
 0.602222  1.81131  i
 0.606263  1.85815  i
 0.610303  1.90333  i
 0.614343  1.94632  i
 0.618384  1.98657  i
 0.622424  2.02361  i
 0.626465  2.05702  i
 0.630505  2.08646  i
 0.634545  2.11169  i
 0.638586  2.13256  i
 0.642626  2.14903  i
 0.646667  2.16118  i
 0.650707  2.16915  i
 0.654747  2.17322  i
 0.658788  2.17371  i
 0.662828  2.17101  i
 0.666869  2.16555  i
 0.670909  2.15777  i
 0.674949  2.14813  i
 0.67899  2.13704  i
 0.68303  2.1249  i
 0.687071  2.11206  i
 0.691111  2.0988  i
 0.695152  2.08535  i
 0.699192  2.07189  i
 0.703232  2.05856  i
 0.707273  2.04543  i
 0.711313  2.03255  i
 0.715354  2.01997  i
 0.719394  2.00769  i
 0.723434  1.99571  i
 0.727475  1.98404  i
 0.731515  1.97269  i
 0.735556  1.96165  i
 0.739596  1.95092  i
 0.743636  1.94052  i
 0.747677  1.93043  i
 0.751717  1.92065  i
 0.755758  1.91118  i
 0.759798  1.90202  i
 0.763838  1.89316  i
 0.767879  1.88458  i
 0.771919  1.87625  i
 0.77596  1.86809  i
 0.78  1.86  i

